,cell_name,cell_type,threshold,error,dca_level,pi,info_per_dc
0,bbp001,L1,1.0081192045831877,0.013775165050070473,42.0,0.9579968156446045,0.022809447991538202
1,bbp002,L1,0.9451319910912657,0.020682970738518228,25.0,0.8981951542974895,0.035927806171899584
2,bbp003,L1,0.8674033198381391,0.05337612017240839,28.0,0.8285319482079615,0.02959042672171291
3,bbp004,L1,0.9631438048113072,0.03602290619225746,41.0,0.9155088288967507,0.022329483631628066
4,bbp005,L1,0.9794515328632422,0.026728844653162238,52.0,0.9306853447264323,0.01789779509089293
5,bbp006,L1,0.9808163145668829,0.01674156453633871,41.0,0.9336334818906311,0.02277154833879588
6,bbp007,L1,0.925630358167878,0.040258477848635656,41.0,0.8825121544590936,0.021524686694124235
7,bbp008,L1,0.9485378845164818,0.0375085364265418,46.0,0.9013689645121158,0.01959497748939382
8,bbp009,L1,0.9098104004003004,0.05196848928647396,48.0,0.8666896867525387,0.018056035140677888
9,bbp010,L1,0.9266419982163705,0.04229249033774412,48.0,0.8823953740631761,0.018383236959649503
10,bbp011,L1,0.8984793844967128,0.04571674031363683,38.0,0.8563882771167322,0.022536533608335057
11,bbp012,L1,0.8605431667779077,0.05843204284945491,29.0,0.8213143932163898,0.028321185972978957
12,bbp013,L1,0.8996176653222859,0.04755922478609063,35.0,0.8578590337192067,0.024510258106263047
13,bbp014,L1,0.92906706869022,0.0257059220327969,23.0,0.884932122005711,0.03847530965242222
14,bbp017,L23,0.9760660335585291,0.05105432383573533,21.0,0.9299658283010989,0.04428408706195709
15,bbp018,L23,0.9849618165711743,0.044135722290582574,21.0,0.9367790520824499,0.044608526289640474
16,bbp019,L23,0.9745740677551671,0.05671865346388652,22.0,0.9270933252744903,0.042140605694295015
17,bbp020,L23,1.09403525194618,0.043731239018177985,33.0,1.0419155623001142,0.03157319885757922
18,bbp023,L23,0.9889936253763156,0.015813519460611183,36.0,0.9406593070270007,0.026129425195194466
19,bbp024,L23,1.048080044338007,0.016104890783445756,59.0,0.9977670685115996,0.016911306245959316
20,bbp025,L23,0.9489584208775592,0.020667199068176243,25.0,0.9038026057552846,0.03615210423021138
21,bbp026,L23,0.9991377890176427,0.013844976442568407,41.0,0.951118160387395,0.023198003911887685
22,bbp027,L23,0.9527110401605254,0.0198865509521058,25.0,0.9054310899119862,0.036217243596479445
23,bbp028,L23,0.984961322843122,0.016481206581766418,40.0,0.9383316424778314,0.023458291061945784
24,bbp031,L23,0.9767416217356966,0.013657864433017192,36.0,0.9318983866681146,0.025886066296336517
25,bbp032,L23,1.0122550004336888,0.013796365244958097,51.0,0.9636857005624083,0.0188957980502433
26,bbp034,L23,0.9441797575139333,0.02365874711882128,29.0,0.9015305300602762,0.031087259657250902
27,bbp035,L23,1.010592221300278,0.01864046432400617,54.0,0.9609058973257342,0.017794553654180263
28,bbp036,L23,0.9490866025285051,0.021243421466655085,26.0,0.906429450537638,0.03486267117452454
29,bbp037,L23,0.9651600606322394,0.019927924652899696,41.0,0.9178747663036209,0.022387189422039534
30,bbp038,L23,0.9631601271486407,0.018238102016224715,38.0,0.9176627318649421,0.02414901925960374
31,bbp040,L23,0.964171591393695,0.017137161633081648,32.0,0.9179764586518225,0.028686764332869454
32,bbp041,L23,0.9876789053807372,0.0113076450746762,40.0,0.9390777327443985,0.023476943318609965
33,bbp042,L23,0.9498599046985692,0.01963705643356914,24.0,0.9035809380089536,0.03764920575037307
34,bbp043,L23,0.9937384703740141,0.012841956835888384,44.0,0.9469344358098162,0.021521237177495822
35,bbp045,L23,0.9701370308522191,0.0271599524599136,45.0,0.922338849451753,0.020496418876705624
36,bbp046,L23,0.9873915632412539,0.019057609798356932,44.0,0.9397743581619324,0.02135850814004392
37,bbp047,L23,1.0073776763110551,0.015280773009892444,50.0,0.9571989902597206,0.01914397980519441
38,bbp048,L23,0.9354072121326993,0.027882891151366718,19.0,0.892222409235153,0.04695907417027121
39,bbp049,L23,0.911123535720371,0.04118726861517387,35.0,0.8656011832813985,0.02473146237946853
40,bbp050,L23,0.9180613942848708,0.03210775159838049,25.0,0.8765628957641143,0.03506251583056457
