,cell_name,cell_type,threshold,error,dca_level,pi,info_per_dc
0,bbp001,L1,1.0081192045831877,0.013775165050070473,82.0,1.0052443087163057,0.012259076935564703
1,bbp002,L1,0.9451319910912657,0.020682970738518228,49.0,0.9425035737845768,0.019234766811930138
2,bbp003,L1,0.8674033198381391,0.05337612017240839,53.0,0.8649737434010005,0.01632025930945284
3,bbp004,L1,0.9631438048113072,0.03602290619225746,80.0,0.960415727792308,0.01200519659740385
4,bbp005,L1,0.9794515328632422,0.026728844653162238,101.0,0.9765647115152658,0.009668957539755108
5,bbp006,L1,0.9808163145668829,0.01674156453633871,79.0,0.9779822809395219,0.012379522543538251
6,bbp007,L1,0.925630358167878,0.040258477848635656,78.0,0.9229213320839201,0.011832324770306669
7,bbp008,L1,0.9485378845164818,0.0375085364265418,90.0,0.9458653292505931,0.010509614769451035
8,bbp009,L1,0.9098104004003004,0.05196848928647396,92.0,0.9071754260280795,0.00986060245682695
9,bbp010,L1,0.9266419982163705,0.04229249033774412,92.0,0.9239197088340244,0.010042605530804613
10,bbp011,L1,0.8984793844967128,0.04571674031363683,73.0,0.8959685463035588,0.012273541730185737
11,bbp012,L1,0.8605431667779077,0.05843204284945491,55.0,0.8580817887983458,0.015601487069060834
12,bbp013,L1,0.8996176653222859,0.04755922478609063,67.0,0.8970958202411828,0.013389489854346013
13,bbp014,L1,0.92906706869022,0.0257059220327969,44.0,0.926334414849597,0.021053054882945385
14,bbp017,L23,0.9760660335585291,0.05105432383573533,40.0,0.9731540365020719,0.024328850912551797
15,bbp018,L23,0.9849618165711743,0.044135722290582574,41.0,0.9822405560989939,0.0239570867341218
16,bbp019,L23,0.9745740677551671,0.05671865346388652,43.0,0.9719202565002275,0.02260279666279599
17,bbp020,L23,1.09403525194618,0.043731239018177985,63.0,1.0907606627435886,0.017313661313390297
18,bbp023,L23,0.9889936253763156,0.015813519460611183,70.0,0.9862001323787302,0.014088573319696145
19,bbp024,L23,1.048080044338007,0.016104890783445756,113.0,1.0449559724447377,0.009247397986236618
20,bbp025,L23,0.9489584208775592,0.020667199068176243,48.0,0.9462169548504751,0.019712853226051565
21,bbp026,L23,0.9991377890176427,0.013844976442568407,79.0,0.996255972344945,0.012610835092973987
22,bbp027,L23,0.9527110401605254,0.0198865509521058,49.0,0.9500651964231983,0.01938908564128976
23,bbp028,L23,0.984961322843122,0.016481206581766418,77.0,0.9821863262435975,0.012755666574592175
24,bbp031,L23,0.9767416217356966,0.013657864433017192,68.0,0.9738423425409287,0.01432121091971954
25,bbp032,L23,1.0122550004336888,0.013796365244958097,98.0,1.0092978113409588,0.010298957258581211
26,bbp034,L23,0.9441797575139333,0.02365874711882128,55.0,0.9415256382762286,0.017118647968658703
27,bbp035,L23,1.010592221300278,0.01864046432400617,105.0,1.007704313743091,0.00959718394041039
28,bbp036,L23,0.9490866025285051,0.021243421466655085,49.0,0.9463441622677834,0.019313146168730273
29,bbp037,L23,0.9651600606322394,0.019927924652899696,79.0,0.9622713952618397,0.01218065057293468
30,bbp038,L23,0.9631601271486407,0.018238102016224715,73.0,0.9604252612031535,0.01315651042744046
31,bbp040,L23,0.964171591393695,0.017137161633081648,62.0,0.9614954411636619,0.015507990986510676
32,bbp041,L23,0.9876789053807372,0.0113076450746762,78.0,0.9848987045480411,0.012626906468564628
33,bbp042,L23,0.9498599046985692,0.01963705643356914,47.0,0.9473025797593485,0.020155374037432946
34,bbp043,L23,0.9937384703740141,0.012841956835888384,84.0,0.9908282235336155,0.011795574089685899
35,bbp045,L23,0.9701370308522191,0.0271599524599136,87.0,0.9672586310823718,0.011117915299797377
36,bbp046,L23,0.9873915632412539,0.019057609798356932,85.0,0.9845678855112209,0.011583151594249658
37,bbp047,L23,1.0073776763110551,0.015280773009892444,97.0,1.004385365996585,0.010354488309243143
38,bbp048,L23,0.9354072121326993,0.027882891151366718,36.0,0.9326513468258694,0.025906981856274148
39,bbp049,L23,0.911123535720371,0.04118726861517387,68.0,0.9084243353038216,0.013359181401526789
40,bbp050,L23,0.9180613942848708,0.03210775159838049,47.0,0.9153413638529043,0.01947534816708307
41,bbp051,L23,1.00534562579274,0.02067259445486271,96.0,1.0023353388543372,0.010440993113066012
42,bbp052,L23,0.9402398344059213,0.024531003969734094,50.0,0.9376783406252185,0.01875356681250437
43,bbp053,L23,0.9502445287630001,0.023649075061096304,65.0,0.9475107177716964,0.014577087965718405
44,bbp054,L23,0.9442625570243084,0.024246477316915288,61.0,0.9416685282188615,0.01543718898719445
45,bbp055,L23,0.9383609075930021,0.0241487362622782,43.0,0.9356402726936475,0.021759076109154594
46,bbp056,L23,1.0097464471273698,0.02269713303666834,103.0,1.0068710499451847,0.009775447086846453
47,bbp057,L23,0.9021029266376991,0.04444373220727615,69.0,0.8994032127670685,0.013034829170537224
48,bbp060,L4,1.038856678250208,0.0183277392601942,50.0,1.0358249072825636,0.020716498145651272
49,bbp061,L4,1.1149951021497406,0.01645918876986478,68.0,1.1117144776429877,0.016348742318279232
50,bbp062,L4,1.0536213148610272,0.015859983565215723,55.0,1.0505727349250413,0.01910132245318257
