,cell_name,cell_type,threshold,error,dca_level,pi,info_per_dc
0,bbp001,L1,48.19817916933976,0.6585906410438703,65.0,47.73500966146803,0.734384764022585
1,bbp002,L1,34.984068264804954,0.7655801618815093,39.0,34.66072252242377,0.8887364749339428
2,bbp003,L1,39.41985170894868,2.4257222613018197,42.0,39.04589400117297,0.9296641428850707
3,bbp004,L1,55.25716506433824,2.0666941664268044,63.0,54.71270142567933,0.8684555781853861
4,bbp005,L1,76.89347715725188,2.0983924975706727,80.0,76.13230421731238,0.9516538027164048
5,bbp006,L1,49.45030679502941,0.8440678300108844,63.0,48.98337741005207,0.7775139271436837
6,bbp007,L1,53.06483803769915,2.3079514375903605,62.0,52.55091411653332,0.8475953889763439
7,bbp008,L1,62.59323033780663,2.4751570616774887,71.0,61.984029454451544,0.8730144993584724
8,bbp009,L1,55.37880886174323,3.1632353281715595,73.0,54.84254027706782,0.7512676750283263
9,bbp010,L1,62.297387554278316,2.8432888817427333,73.0,61.68728476804882,0.8450312981924496
10,bbp011,L1,52.70931143793313,2.681972570558576,58.0,52.21621438723765,0.9002795584006491
11,bbp012,L1,42.5890223114949,2.891850493985321,44.0,42.195988166187874,0.9589997310497244
12,bbp013,L1,53.94182425148333,2.851690750860929,53.0,53.42551417032128,1.0080285692513449
13,bbp014,L1,34.03947284838683,0.9418221400707093,35.0,33.70961902709033,0.963131972202581
14,bbp017,L23,30.624045178362703,1.6018294104119748,32.0,30.331747011703385,0.9478670941157308
15,bbp018,L23,32.19679363261412,1.4427232021533467,33.0,31.915979446588864,0.9671508923208747
16,bbp019,L23,33.86000324431912,1.9705950835185722,34.0,33.54260764685337,0.9865472837309814
17,bbp020,L23,43.544484169086054,1.7405761983846686,50.0,43.11210545315214,0.8622421090630428
18,bbp023,L23,38.905359310518776,0.622077499715434,55.0,38.51882576225926,0.7003422865865321
19,bbp024,L23,81.56419754266105,1.2533228629965223,90.0,80.77005165531418,0.8974450183923798
20,bbp025,L23,31.593995305007635,0.6880799476479552,38.0,31.285423065123528,0.823300606976935
21,bbp026,L23,55.67695318122976,0.7715113122621283,63.0,55.151978341910834,0.8754282276493783
22,bbp027,L23,31.48471795007679,0.6572007925906895,39.0,31.194037115482626,0.7998471055251956
23,bbp028,L23,55.198051914647024,0.9236205511815732,61.0,54.67122316924461,0.896249560151551
24,bbp031,L23,50.01079817206222,0.6993054220780514,54.0,49.51882720484368,0.9170153186082163
25,bbp032,L23,69.90042370800255,0.9526965050191128,78.0,69.22853789235697,0.8875453575943201
26,bbp034,L23,34.97242433893209,0.8763199932797647,44.0,34.65413589265485,0.7875939975603375
27,bbp035,L23,70.21678452625484,1.2951549949539627,83.0,69.53212481795606,0.837736443589832
28,bbp036,L23,32.224656944070205,0.7212849701918101,39.0,31.917600020634854,0.8184000005290988
29,bbp037,L23,57.62648710135416,1.1898299546068796,63.0,57.06687178388992,0.9058233616490464
30,bbp038,L23,52.01626458092344,0.9849638978042166,58.0,51.523449584772,0.8883353376684828
31,bbp040,L23,41.471433111493326,0.7371121647474435,49.0,41.07590581041429,0.8382837920492713
32,bbp041,L23,58.28457732882291,0.667282981931412,62.0,57.737307532189625,0.9312468956804778
33,bbp042,L23,31.61054877189676,0.6535048738931032,37.0,31.31081101658032,0.8462381355832519
34,bbp043,L23,67.92533691130274,0.877790556255758,67.0,67.27761327201915,1.0041434816719277
35,bbp045,L23,53.8199634834921,1.5067436293039675,69.0,53.28757424852925,0.7722836847612935
36,bbp046,L23,55.44615051890506,1.0701641968855398,67.0,54.8980533341535,0.8193739303605
37,bbp047,L23,68.93569477894911,1.045676031044566,77.0,68.25597832560635,0.8864412769559267
38,bbp048,L23,23.89731635671529,0.7123381616869396,29.0,23.678693382547593,0.8165066683637101
39,bbp049,L23,50.58709705159938,2.2867857989620193,54.0,50.0902318171709,0.9275968855031649
40,bbp050,L23,29.083431779881703,1.0171468141741367,38.0,28.820709640335107,0.7584397273772396
41,bbp051,L23,62.891072598983385,1.2932086004483174,77.0,62.29628013652064,0.8090425991755927
42,bbp052,L23,32.94287220928984,0.8594846090869419,39.0,32.613822657621746,0.8362518630159422
43,bbp053,L23,46.89219231086169,1.1670227315790556,52.0,46.4574347593085,0.8934122069097788
44,bbp054,L23,29.350813381111088,0.7536613365931186,48.0,29.06747342834817,0.6055723630905868
45,bbp055,L23,31.41632619577829,0.8084996900670569,34.0,31.106866638679893,0.9149078423141145
46,bbp056,L23,72.01511838814501,1.6187595281755616,81.0,71.29796592327422,0.880221801521904
47,bbp057,L23,51.4822519076536,2.536366760619603,55.0,50.98127194447382,0.9269322171722513
48,bbp060,L4,43.19479387097965,0.7620521253224879,40.0,42.78971104061852,1.069742776015463
49,bbp061,L4,55.8055031806315,0.8237823979313463,54.0,55.26035593327502,1.0233399246902781
50,bbp062,L4,50.82493415939322,0.7650591738797721,44.0,50.35155731909164,1.144353575433901
51,bbp063,L4,74.01907641782826,2.134098963119852,73.0,73.28407167670942,1.0038913928316358
52,bbp066,L4,75.30010576962687,1.0058620198974362,76.0,74.54854624102674,0.9809019242240361
53,bbp067,L4,87.43527902355582,1.4786360085874262,88.0,86.57018541093855,0.9837521069424835
54,bbp068,L4,36.80664499981884,0.6826552491495603,39.0,36.45025240381791,0.9346218565081517
55,bbp069,L4,75.4362484278762,0.971503603970635,65.0,74.68870886439939,1.1490570594522982
56,bbp070,L4,65.29840599669221,1.1034617264052329,74.0,64.656769365031,0.873740126554473
57,bbp071,L4,31.280726168248712,0.4994421452949496,37.0,30.972030045825356,0.837081893130415
58,bbp072,L4,58.58003719624048,0.801980925659475,59.0,58.007906094372125,0.9831848490571546
59,bbp075,L4,35.92898291538247,0.655748199434381,39.0,35.576871881389906,0.9122274841382028
60,bbp076,L4,55.15535455484073,1.2126739738457963,58.0,54.63571827406041,0.941995142656214
61,bbp077,L4,60.05617818957001,0.9189710420789816,65.0,59.485644954466295,0.9151637685302507
62,bbp078,L4,64.38632499803965,1.2143143813657309,70.0,63.756578631732275,0.9108082661676039
63,bbp079,L4,28.393306629172617,0.7498430140498212,31.0,28.135432720515656,0.9075946038876018
64,bbp080,L4,59.48521375862123,0.9100767270395802,72.0,58.92270828518874,0.8183709484053991
65,bbp081,L4,39.62287824260915,0.6180615074002643,47.0,39.2421439826003,0.8349392336723468
66,bbp082,L4,58.21421146708309,0.7599401487214695,62.0,57.662343900760504,0.9300378048509759
67,bbp083,L4,60.995971820540525,1.8685324228159212,67.0,60.406574787571884,0.9015906684712222
68,bbp084,L4,64.9724342387232,1.6705462532373794,69.0,64.34732466721904,0.9325699227133194
69,bbp086,L4,46.74938131908479,0.9506757674671727,52.0,46.301901931642355,0.8904211909931222
70,bbp087,L4,60.80426102240102,1.600692221031159,65.0,60.23273170389897,0.9266574108292149
71,bbp088,L4,41.12356840486648,0.5831094214664825,45.0,40.73614364518425,0.90524763655965
72,bbp089,L4,56.72757059831109,1.4339716491788461,56.0,56.18660185278788,1.0033321759426408
73,bbp090,L4,60.507095463158244,1.0616329082560694,72.0,59.91917623441974,0.8322107810336075
74,bbp091,L4,71.15693781777641,1.394458195530174,90.0,70.4654369854496,0.7829492998383288
75,bbp092,L4,24.03133134696945,0.69743004022959,28.0,23.805360090372016,0.8501914317990006
76,bbp093,L4,62.04897926917602,1.0854599117305093,66.0,61.433633780012585,0.9308126330304937
77,bbp094,L4,31.83901258328342,1.0503303244576108,42.0,31.530398906963445,0.7507237834991296
78,bbp095,L4,55.461903364361014,1.2722497027905426,67.0,54.91517690474426,0.8196295060409591
79,bbp096,L4,26.445994086977098,0.8341009282691798,31.0,26.195384266883927,0.8450123957059331
80,bbp097,L4,48.20687250153605,1.290036101736693,53.0,47.750420240337704,0.9009513252893906
81,bbp098,L4,38.970919705927116,0.6126118518862664,65.0,38.58271318068143,0.5935802027797143
82,bbp099,L4,40.8145923976443,1.5042287325687285,54.0,40.41624800598982,0.7484490371479596
83,bbp100,L4,60.32170184347744,0.7690996391243362,72.0,59.744070721060524,0.8297787600147295
84,bbp101,L4,50.582225679890506,1.7575479714514228,66.0,50.08652001797869,0.7588866669390711
85,bbp102,L4,34.026220665766594,0.8359711456636403,56.0,33.69290789702758,0.6016590695897782
86,bbp106,L5,34.984778818847296,0.547448072228978,37.0,34.663842123742604,0.9368605979389893
87,bbp107,L5,47.0109115763111,0.6023843635292792,50.0,46.58001550664739,0.9316003101329479
88,bbp108,L5,29.149211557582856,0.5767268304936787,33.0,28.875019770047942,0.8750005990923618
89,bbp109,L5,59.592733338693854,2.1069438273770182,55.0,59.03629443025173,1.0733871714591223
90,bbp111,L5,52.924453553986716,0.8521578314761313,59.0,52.41120717087879,0.888325545269132
91,bbp112,L5,30.767051290546284,0.6515268543535192,36.0,30.473507573585703,0.8464863214884918
