,cell_name,cell_type,threshold,error,dca_level,pi,info_per_dc
0,bbp001,L1,1,0.014396521725152406,16.0,0.688986637500558,0.043061664843784875
1,bbp002,L1,1,0.04181069914570225,12.0,0.7060089632791497,0.05883408027326248
2,bbp003,L1,1,0.09311170142758071,17.0,0.6904512078391001,0.04061477693171177
3,bbp004,L1,1,0.04032861592622193,18.0,0.695946983951617,0.03866372133064539
4,bbp005,L1,1,0.02799828527902631,21.0,0.6830079862796695,0.03252418982284141
5,bbp006,L1,1,0.019402138949127217,17.0,0.6968957899396965,0.040993869996452735
6,bbp007,L1,1,0.05333085053707132,20.0,0.6980847201529014,0.03490423600764507
7,bbp008,L1,1,0.04365900122903441,21.0,0.6950053298831543,0.033095491899197825
8,bbp009,L1,1,0.06144173925692236,24.0,0.6882736583336937,0.028678069097237236
9,bbp010,L1,1,0.051096126337303344,23.0,0.6927339083880221,0.030118865582087918
10,bbp011,L1,1,0.06599107777872285,20.0,0.6872292208731181,0.03436146104365591
11,bbp012,L1,1,0.09452092707248352,19.0,0.6988554116569627,0.03678186377141909
12,bbp013,L1,1,0.07040824030778378,18.0,0.6815521869261842,0.03786401038478801
13,bbp014,L1,1,0.05490064802865298,11.0,0.6914278643908354,0.06285707858098503
14,bbp017,L23,1,0.0517758807313714,9.0,0.7090114789040856,0.07877905321156506
15,bbp018,L23,1,0.04446987917343163,9.0,0.712783980762847,0.07919822008476078
16,bbp019,L23,1,0.05734826214350872,9.0,0.6873901151030566,0.07637667945589517
17,bbp020,L23,1,0.048892859360487116,11.0,0.7055215857020658,0.06413832597291508
18,bbp023,L23,1,0.016986266143079687,15.0,0.7047745820280016,0.04698497213520011
19,bbp024,L23,1,0.02489098887061746,20.0,0.6843724957294866,0.034218624786474326
20,bbp025,L23,1,0.039784195765857344,11.0,0.6836510840035672,0.06215009854577884
21,bbp026,L23,1,0.013852303940472103,16.0,0.6932651706837569,0.04332907316773481
22,bbp027,L23,1,0.03715461880044662,11.0,0.6829840355895394,0.06208945778086721
23,bbp028,L23,1,0.018284820856135288,16.0,0.6899474379305495,0.04312171487065934
24,bbp031,L23,1,0.01897283959057493,15.0,0.6996340208100993,0.04664226805400662
25,bbp032,L23,1,0.014792870212998114,19.0,0.6888065138664212,0.03625297441402217
26,bbp034,L23,1,0.041869000097014025,13.0,0.6896419936150358,0.05304938412423352
27,bbp035,L23,1,0.019123205553624057,20.0,0.6821116838291439,0.03410558419145719
28,bbp036,L23,1,0.03974970253911896,12.0,0.7076805507824817,0.05897337923187348
29,bbp037,L23,1,0.026327484261482233,18.0,0.6987481535870088,0.038819341865944934
30,bbp038,L23,1,0.026724946216993402,16.0,0.6854059287937002,0.04283787054960626
31,bbp040,L23,1,0.02739860077847873,14.0,0.6985078098141246,0.049893414986723186
32,bbp041,L23,1,0.013017483735078536,16.0,0.6880917627030432,0.0430057351689402
