,cell_name,cell_type,threshold,error,dca_level,pi,info_per_dc
0,bbp001,L1,48.19817916933976,0.6585906410438703,42.0,45.801827755255616,1.090519708458467
1,bbp002,L1,34.984068264804954,0.7655801618815093,25.0,33.24669184048318,1.3298676736193271
2,bbp003,L1,39.41985170894868,2.4257222613018197,28.0,37.653325894958606,1.3447616391056645
3,bbp004,L1,55.25716506433824,2.0666941664268044,41.0,52.52426729489601,1.281079690119415
4,bbp005,L1,76.89347715725188,2.0983924975706727,52.0,73.06500496969072,1.4050962494171293
5,bbp006,L1,49.45030679502941,0.8440678300108844,41.0,47.07146613561759,1.1480845398931119
6,bbp007,L1,53.06483803769915,2.3079514375903605,41.0,50.592949035086626,1.2339743667094298
7,bbp008,L1,62.59323033780663,2.4751570616774887,46.0,59.48058864503427,1.2930562748920493
8,bbp009,L1,55.37880886174323,3.1632353281715595,48.0,52.7540155277585,1.0990419901616353
9,bbp010,L1,62.297387554278316,2.8432888817427333,48.0,59.32271208008633,1.2358898350017986
10,bbp011,L1,52.70931143793313,2.681972570558576,38.0,50.24002177287404,1.322105836128264
11,bbp012,L1,42.5890223114949,2.891850493985321,29.0,40.64753268958262,1.4016390582614695
12,bbp013,L1,53.94182425148333,2.851690750860929,35.0,51.437942466099294,1.4696554990314084
13,bbp014,L1,34.03947284838683,0.9418221400707093,23.0,32.42243687419631,1.4096711684433176
14,bbp017,L23,30.624045178362703,1.6018294104119748,21.0,29.177665283375422,1.3894126325416867
15,bbp018,L23,32.19679363261412,1.4427232021533467,21.0,30.621761434661288,1.4581791159362518
16,bbp019,L23,33.86000324431912,1.9705950835185722,22.0,32.210337366256155,1.4641062439207344
17,bbp020,L23,43.544484169086054,1.7405761983846686,33.0,41.470011516429544,1.2566670156493802
18,bbp023,L23,38.905359310518776,0.622077499715434,36.0,37.003969163777334,1.0278880323271482
19,bbp024,L23,81.56419754266105,1.2533228629965223,59.0,77.64872226256098,1.3160800383484912
20,bbp025,L23,31.593995305007635,0.6880799476479552,25.0,30.090600067477897,1.2036240026991158
21,bbp026,L23,55.67695318122976,0.7715113122621283,41.0,53.0010594602914,1.2927087673241806
22,bbp027,L23,31.48471795007679,0.6572007925906895,25.0,29.92223397894595,1.196889359157838
23,bbp028,L23,55.198051914647024,0.9236205511815732,40.0,52.584886865240534,1.3146221716310134
24,bbp031,L23,50.01079817206222,0.6993054220780514,36.0,47.71475044363305,1.3254097345453626
25,bbp032,L23,69.90042370800255,0.9526965050191128,51.0,66.54651228368913,1.3048335741899828
26,bbp034,L23,34.97242433893209,0.8763199932797647,29.0,33.39269058992608,1.1514720893077959
27,bbp035,L23,70.21678452625484,1.2951549949539627,54.0,66.76454036502297,1.236380377130055
28,bbp036,L23,32.224656944070205,0.7212849701918101,26.0,30.776300807745347,1.183703877220975
29,bbp037,L23,57.62648710135416,1.1898299546068796,41.0,54.80324202201475,1.3366644395613354
30,bbp038,L23,52.01626458092344,0.9849638978042166,38.0,49.55914041537544,1.3041879056677748
31,bbp040,L23,41.471433111493326,0.7371121647474435,32.0,39.48446250899862,1.2338894534062068
32,bbp041,L23,58.28457732882291,0.667282981931412,40.0,55.41654191995072,1.385413547998768
33,bbp042,L23,31.61054877189676,0.6535048738931032,24.0,30.070419903178745,1.2529341626324477
34,bbp043,L23,67.92533691130274,0.877790556255758,44.0,64.72612513545876,1.4710482985331537
35,bbp045,L23,53.8199634834921,1.5067436293039675,45.0,51.168283331887906,1.1370729629308423
36,bbp046,L23,55.44615051890506,1.0701641968855398,44.0,52.772245967615085,1.1993692265367064
37,bbp047,L23,68.93569477894911,1.045676031044566,50.0,65.50192490004787,1.3100384980009574
38,bbp048,L23,23.89731635671529,0.7123381616869396,19.0,22.794051697449014,1.199686931444685
39,bbp049,L23,50.58709705159938,2.2867857989620193,35.0,48.05962034209145,1.3731320097740414
40,bbp050,L23,29.083431779881703,1.0171468141741367,25.0,27.768779809851875,1.110751192394075
41,bbp051,L23,62.891072598983385,1.2932086004483174,50.0,59.84206765894164,1.1968413531788327
42,bbp052,L23,32.94287220928984,0.8594846090869419,26.0,31.414973058684463,1.208268194564787
43,bbp053,L23,46.89219231086169,1.1670227315790556,34.0,44.69470104086081,1.3145500306135531
44,bbp054,L23,29.350813381111088,0.7536613365931186,31.0,27.885048657998013,0.8995176986450972
45,bbp055,L23,31.41632619577829,0.8084996900670569,23.0,30.03663362601961,1.3059405924356353
46,bbp056,L23,72.01511838814501,1.6187595281755616,53.0,68.48657100333546,1.2921994528931218
47,bbp057,L23,51.4822519076536,2.536366760619603,36.0,49.000155450761866,1.3611154291878296
48,bbp060,L4,43.19479387097965,0.7620521253224879,26.0,41.11842511465938,1.581477889025361
49,bbp061,L4,55.8055031806315,0.8237823979313463,35.0,53.027111501385114,1.5150603286110034
50,bbp062,L4,50.82493415939322,0.7650591738797721,29.0,48.49389810969797,1.6722033830930336
51,bbp063,L4,74.01907641782826,2.134098963119852,48.0,70.45236991297817,1.4677577065203786
52,bbp066,L4,75.30010576962687,1.0058620198974362,50.0,71.66548911772486,1.4333097823544971
53,bbp067,L4,87.43527902355582,1.4786360085874262,58.0,83.26219131393395,1.4355550226540337
54,bbp068,L4,36.80664499981884,0.6826552491495603,26.0,35.13454905797673,1.3513288099221819
55,bbp069,L4,75.4362484278762,0.971503603970635,43.0,71.87261688196885,1.6714562065574152
56,bbp070,L4,65.29840599669221,1.1034617264052329,48.0,62.042537603771486,1.2925528667452393
57,bbp071,L4,31.280726168248712,0.4994421452949496,25.0,29.900204340721707,1.1960081736288684
58,bbp072,L4,58.58003719624048,0.801980925659475,39.0,55.832537707560405,1.4316035309630872
59,bbp075,L4,35.92898291538247,0.655748199434381,26.0,34.28359590588275,1.3185998425339518
60,bbp076,L4,55.15535455484073,1.2126739738457963,38.0,52.55949250802985,1.383144539684996
61,bbp077,L4,60.05617818957001,0.9189710420789816,42.0,57.092331085914296,1.3593412163312928
62,bbp078,L4,64.38632499803965,1.2143143813657309,46.0,61.30894608700358,1.3328031758044256
63,bbp079,L4,28.393306629172617,0.7498430140498212,20.0,27.025829343576675,1.3512914671788336
64,bbp080,L4,59.48521375862123,0.9100767270395802,47.0,56.64727811785363,1.2052612365500772
65,bbp081,L4,39.62287824260915,0.6180615074002643,31.0,37.77203100579026,1.2184526130900084
66,bbp082,L4,58.21421146708309,0.7599401487214695,40.0,55.33188963067682,1.3832972407669204
