,cell_name,cell_type,threshold,error,dca_level,pi,info_per_dc
0,bbp001,L1,48.19817916933976,0.6585906410438703,82.0,48.060730398059064,0.586106468269013
1,bbp002,L1,34.984068264804954,0.7655801618815093,49.0,34.886776385656866,0.7119750282787115
2,bbp003,L1,39.41985170894868,2.4257222613018197,53.0,39.30943944595064,0.7416875367160498
3,bbp004,L1,55.25716506433824,2.0666941664268044,80.0,55.10065075954675,0.6887581344943344
4,bbp005,L1,76.89347715725188,2.0983924975706727,101.0,76.66684229120676,0.7590776464475917
5,bbp006,L1,49.45030679502941,0.8440678300108844,79.0,49.30742188297394,0.6241445807971385
6,bbp007,L1,53.06483803769915,2.3079514375903605,78.0,52.90953475462331,0.6783273686490168
7,bbp008,L1,62.59323033780663,2.4751570616774887,90.0,62.416870218538826,0.693520780205987
8,bbp009,L1,55.37880886174323,3.1632353281715595,92.0,55.21841022977893,0.6002001111932492
9,bbp010,L1,62.297387554278316,2.8432888817427333,92.0,62.11436896469433,0.6751561843988514
10,bbp011,L1,52.70931143793313,2.681972570558576,73.0,52.56201146073616,0.7200275542566597
11,bbp012,L1,42.5890223114949,2.891850493985321,55.0,42.467203758991865,0.7721309774362157
12,bbp013,L1,53.94182425148333,2.851690750860929,67.0,53.790612382483154,0.8028449609325844
13,bbp014,L1,34.03947284838683,0.9418221400707093,44.0,33.93935237413813,0.7713489175940484
14,bbp017,L23,30.624045178362703,1.6018294104119748,40.0,30.532682888698353,0.7633170722174588
15,bbp018,L23,32.19679363261412,1.4427232021533467,41.0,32.10783827399156,0.783118006682721
16,bbp019,L23,33.86000324431912,1.9705950835185722,43.0,33.76779822171045,0.7852976330630337
17,bbp020,L23,43.544484169086054,1.7405761983846686,63.0,43.41414756289207,0.6891134533792392
18,bbp023,L23,38.905359310518776,0.622077499715434,70.0,38.79546810265151,0.5542209728950216
19,bbp024,L23,81.56419754266105,1.2533228629965223,113.0,81.32107517278192,0.7196555325024948
20,bbp025,L23,31.593995305007635,0.6880799476479552,48.0,31.502721889719815,0.6563067060358295
21,bbp026,L23,55.67695318122976,0.7715113122621283,79.0,55.516363956614,0.7027387842609367
22,bbp027,L23,31.48471795007679,0.6572007925906895,49.0,31.39727944902803,0.6407608050822047
23,bbp028,L23,55.198051914647024,0.9236205511815732,77.0,55.04253891461063,0.714838167722216
24,bbp031,L23,50.01079817206222,0.6993054220780514,68.0,49.86235032200563,0.7332698576765534
25,bbp032,L23,69.90042370800255,0.9526965050191128,98.0,69.69621760382958,0.7111858939166283
26,bbp034,L23,34.97242433893209,0.8763199932797647,55.0,34.87411502666619,0.6340748186666579
27,bbp035,L23,70.21678452625484,1.2951549949539627,105.0,70.0161306315072,0.66682029172864
28,bbp036,L23,32.224656944070205,0.7212849701918101,49.0,32.131541523330284,0.6557457453740875
29,bbp037,L23,57.62648710135416,1.1898299546068796,79.0,57.454014775060394,0.7272660098108911
30,bbp038,L23,52.01626458092344,0.9849638978042166,73.0,51.86856593172087,0.7105283004345325
31,bbp040,L23,41.471433111493326,0.7371121647474435,62.0,41.356324930721314,0.6670374988826019
32,bbp041,L23,58.28457732882291,0.667282981931412,78.0,58.1205131294814,0.7451347837113
33,bbp042,L23,31.61054877189676,0.6535048738931032,47.0,31.52544276554148,0.6707541013944996
34,bbp043,L23,67.92533691130274,0.877790556255758,84.0,67.72641183894584,0.806266807606498
35,bbp045,L23,53.8199634834921,1.5067436293039675,87.0,53.66027986659881,0.6167848260528599
36,bbp046,L23,55.44615051890506,1.0701641968855398,85.0,55.2875892400502,0.6504422263535318
37,bbp047,L23,68.93569477894911,1.045676031044566,97.0,68.73092842633892,0.7085662724364837
38,bbp048,L23,23.89731635671529,0.7123381616869396,36.0,23.826910779685175,0.6618586327690327
39,bbp049,L23,50.58709705159938,2.2867857989620193,68.0,50.43723296468233,0.7417240141865049
40,bbp050,L23,29.083431779881703,1.0171468141741367,47.0,28.997261773591585,0.6169630164593954
41,bbp051,L23,62.891072598983385,1.2932086004483174,96.0,62.70275898232581,0.6531537393992272
42,bbp052,L23,32.94287220928984,0.8594846090869419,50.0,32.85312567862119,0.6570625135724238
43,bbp053,L23,46.89219231086169,1.1670227315790556,65.0,46.75728552870802,0.7193428542878156
44,bbp054,L23,29.350813381111088,0.7536613365931186,61.0,29.27018386326767,0.4798390797256995
45,bbp055,L23,31.41632619577829,0.8084996900670569,43.0,31.325238877754966,0.7284939273896504
46,bbp056,L23,72.01511838814501,1.6187595281755616,103.0,71.81004494609162,0.697184902389239
47,bbp057,L23,51.4822519076536,2.536366760619603,69.0,51.328182523239036,0.7438867032353483
48,bbp060,L4,43.19479387097965,0.7620521253224879,50.0,43.06873542664615,0.861374708532923
49,bbp061,L4,55.8055031806315,0.8237823979313463,68.0,55.64130800217666,0.8182545294437744
50,bbp062,L4,50.82493415939322,0.7650591738797721,55.0,50.677875855755985,0.9214159246501088
51,bbp063,L4,74.01907641782826,2.134098963119852,92.0,73.79779372736708,0.8021499318192074
52,bbp066,L4,75.30010576962687,1.0058620198974362,96.0,75.07652801222697,0.782047166794031
53,bbp067,L4,87.43527902355582,1.4786360085874262,111.0,87.17638179993739,0.785372809008445
54,bbp068,L4,36.80664499981884,0.6826552491495603,49.0,36.69812268659636,0.7489412793182931
55,bbp069,L4,75.4362484278762,0.971503603970635,82.0,75.21262090401237,0.9172270841952728
56,bbp070,L4,65.29840599669221,1.1034617264052329,93.0,65.10260232234117,0.7000279819606577
57,bbp071,L4,31.280726168248712,0.4994421452949496,47.0,31.19212534549976,0.663662241393612
